TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [Pacific Time (US and Canada) Tijuana],Computer,RawData,PROVIDER_INSTANCE_s,SAPMON_VERSION_s,SID_s,Time_Generated_t [Pacific Time (US and Canada) Tijuana],dispstatus_s,features_s,hostname_s,httpPort_d,httpsPort_d,instanceNr_d,sapsid_s,serverTimestamp_t [Pacific Time (US and Canada) Tijuana],startPriority_s,timestamp_t [Pacific Time (US and Canada) Tijuana],Type,_ResourceId
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:27:04.870 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:27:04.522 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa01l0c,50213,50214,2,CHA,"4/17/2026, 11:27:04.000 AM",3,"4/17/2026, 11:27:04.521 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:27:04.870 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:27:04.522 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa02l0c,50013,50014,0,CHA,"4/17/2026, 11:27:04.000 AM",3,"4/17/2026, 11:27:04.521 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:27:04.870 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:27:04.522 AM",SAPControl-GREEN,GATEWAY|MESSAGESERVER|ENQUE,chascs00cl1,50013,50014,0,CHA,"4/17/2026, 11:27:04.000 AM",1,"4/17/2026, 11:27:04.521 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:27:04.870 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:27:04.522 AM",SAPControl-GRAY,ENQREP,chaers01cl2,50113,50114,1,CHA,"4/17/2026, 11:27:04.000 AM",0.5,"4/17/2026, 11:27:04.521 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:33:05.183 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:33:04.834 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa01l0c,50213,50214,2,CHA,"4/17/2026, 11:33:04.000 AM",3,"4/17/2026, 11:33:04.834 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:33:05.183 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:33:04.834 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa02l0c,50013,50014,0,CHA,"4/17/2026, 11:33:04.000 AM",3,"4/17/2026, 11:33:04.834 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:33:05.183 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:33:04.834 AM",SAPControl-GREEN,GATEWAY|MESSAGESERVER|ENQUE,chascs00cl1,50013,50014,0,CHA,"4/17/2026, 11:33:04.000 AM",1,"4/17/2026, 11:33:04.834 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:33:05.183 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:33:04.834 AM",SAPControl-GRAY,ENQREP,chaers01cl2,50113,50114,1,CHA,"4/17/2026, 11:33:04.000 AM",0.5,"4/17/2026, 11:33:04.834 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:37:05.641 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:37:05.361 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa01l0c,50213,50214,2,CHA,"4/17/2026, 11:37:05.000 AM",3,"4/17/2026, 11:37:05.359 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:37:05.641 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:37:05.361 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa02l0c,50013,50014,0,CHA,"4/17/2026, 11:37:05.000 AM",3,"4/17/2026, 11:37:05.359 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:37:05.641 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:37:05.361 AM",SAPControl-GREEN,GATEWAY|MESSAGESERVER|ENQUE,chascs00cl1,50013,50014,0,CHA,"4/17/2026, 11:37:05.000 AM",1,"4/17/2026, 11:37:05.359 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:37:05.641 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:37:05.361 AM",SAPControl-GRAY,ENQREP,chaers01cl2,50113,50114,1,CHA,"4/17/2026, 11:37:05.000 AM",0.5,"4/17/2026, 11:37:05.359 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:36:05.325 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:36:04.919 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa01l0c,50213,50214,2,CHA,"4/17/2026, 11:36:04.000 AM",3,"4/17/2026, 11:36:04.919 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:36:05.325 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:36:04.919 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa02l0c,50013,50014,0,CHA,"4/17/2026, 11:36:04.000 AM",3,"4/17/2026, 11:36:04.919 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:36:05.325 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:36:04.919 AM",SAPControl-GREEN,GATEWAY|MESSAGESERVER|ENQUE,chascs00cl1,50013,50014,0,CHA,"4/17/2026, 11:36:04.000 AM",1,"4/17/2026, 11:36:04.919 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:36:05.325 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:36:04.919 AM",SAPControl-GRAY,ENQREP,chaers01cl2,50113,50114,1,CHA,"4/17/2026, 11:36:04.000 AM",0.5,"4/17/2026, 11:36:04.919 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:20:07.768 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:20:07.352 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa01l0c,50213,50214,2,CHA,"4/17/2026, 11:20:07.000 AM",3,"4/17/2026, 11:20:07.352 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:20:07.768 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:20:07.352 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa02l0c,50013,50014,0,CHA,"4/17/2026, 11:20:07.000 AM",3,"4/17/2026, 11:20:07.352 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:20:07.768 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:20:07.352 AM",SAPControl-GREEN,GATEWAY|MESSAGESERVER|ENQUE,chascs00cl1,50013,50014,0,CHA,"4/17/2026, 11:20:07.000 AM",1,"4/17/2026, 11:20:07.352 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:20:07.768 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:20:07.352 AM",SAPControl-GRAY,ENQREP,chaers01cl2,50113,50114,1,CHA,"4/17/2026, 11:20:07.000 AM",0.5,"4/17/2026, 11:20:07.352 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:14:05.741 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:14:05.404 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa01l0c,50213,50214,2,CHA,"4/17/2026, 11:14:05.000 AM",3,"4/17/2026, 11:14:05.404 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:14:05.741 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:14:05.404 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa02l0c,50013,50014,0,CHA,"4/17/2026, 11:14:05.000 AM",3,"4/17/2026, 11:14:05.404 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:14:05.741 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:14:05.404 AM",SAPControl-GREEN,GATEWAY|MESSAGESERVER|ENQUE,chascs00cl1,50013,50014,0,CHA,"4/17/2026, 11:14:05.000 AM",1,"4/17/2026, 11:14:05.404 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:14:05.741 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:14:05.404 AM",SAPControl-GRAY,ENQREP,chaers01cl2,50113,50114,1,CHA,"4/17/2026, 11:14:05.000 AM",0.5,"4/17/2026, 11:14:05.404 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:17:05.580 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:17:05.066 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa01l0c,50213,50214,2,CHA,"4/17/2026, 11:17:04.000 AM",3,"4/17/2026, 11:17:05.066 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:17:05.580 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:17:05.066 AM",SAPControl-GREEN,ABAP|GATEWAY|ICMAN|IGS,vchaa02l0c,50013,50014,0,CHA,"4/17/2026, 11:17:04.000 AM",3,"4/17/2026, 11:17:05.066 AM",SapNetweaver_GetSystemInstanceList_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:17:05.580 AM",,,CHA-NW-RFC,4.0.260223.125026,CHA,"4/17/2026, 11:17:05.066 AM",SAPControl-GREEN,GATEWAY|MESSAGESERVER|ENQUE,chascs00cl1,50013,50014,0,CHA,"4/17/2026, 11:17:04.000 AM",1,"4/17/2026, 11:17:05.066 AM",SapNetweaver_GetSystemInstanceList_CL,
