TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [Pacific Time (US and Canada) Tijuana],Computer,RawData,SERVER_LOCALTIME_t [Pacific Time (US and Canada) Tijuana],SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],ACTIVE_STATUS_s,ASYNC_BUFF_USED_MB_d,DATABASE_NAME_s,FULL_SYNC_s,HOST_s,LAST_LOG_POSITION_d,LAST_LOG_POSITION_TIME_t [Pacific Time (US and Canada) Tijuana],OPERATION_MODE_s,PROVIDER_INSTANCE_s,REPLAYED_LOG_POSITION_d,REPLAYED_LOG_POSITION_TIME_t [Pacific Time (US and Canada) Tijuana],REPLICATION_MODE_s,SAPMON_VERSION_s,SECONDARY_FAILOVER_COUNT_d,SECONDARY_FULLY_RECOVERABLE_s,SECONDARY_HOST_s,SECONDARY_RECONNECT_COUNT_d,SECONDARY_SITE_NAME_s,SERVICE_NAME_s,SERVICE_REPLICATION_STATUS_s,SERVICE_REPLICATION_STATUS_DETAILS_s,SHIPPED_FULL_REPLICA_DURATION_d,SHIPPED_FULL_REPLICA_SIZE_d,SHIPPED_LOG_BUFFERS_COUNT_d,SHIPPED_LOG_BUFFERS_DURATION_d,SHIPPED_LOG_BUFFERS_SIZE_d,SHIPPED_LOG_POSITION_d,SHIPPED_LOG_POSITION_TIME_t [Pacific Time (US and Canada) Tijuana],SITE_NAME_s,SYSTEM_ID_s,SYSTEM_REPLICATION_STATUS_s,TIER_d,TIME_DIFF_SECONDS_d,TOTAL_TRIGGER_ASYNC_WRITES_d,TOTAL_WRITE_SIZE_d,TOTAL_WRITE_TIME_d,Time_Generated_t [Pacific Time (US and Canada) Tijuana],_SERVER_LOCALTIME_t [Pacific Time (US and Canada) Tijuana],_SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],sapsid_s,Type,_ResourceId
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:52:05.139 PM",,,"4/17/2026, 11:52:04.551 PM","4/17/2026, 11:52:04.551 PM",YES,0,SYSTEMDB,DISABLED,vchadcha01l10c,2228763264,"4/17/2026, 11:52:04.543 PM",logreplay,CHA-HANA,2228763200,"4/17/2026, 11:52:04.483 PM",SYNC,4.0.260223.125026,0,TRUE,vchadcha01l00c,0,SITEA,nameserver,ACTIVE,,0,0,21688365,20602250084,90669334528,2228763264,"4/17/2026, 11:52:04.543 PM",SITEB,CHA,ACTIVE,1,0,21695879,90794463232,10786888955,"4/17/2026, 11:52:04.557 PM","4/17/2026, 11:52:04.551 PM","4/17/2026, 11:52:04.551 PM",CHA,SapHana_SystemReplication_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:52:05.139 PM",,,"4/17/2026, 11:52:04.551 PM","4/17/2026, 11:52:04.551 PM",YES,10079.5,CHA,DISABLED,vchadcha01l10c,1898296704,"4/17/2026, 11:51:47.356 PM",logreplay,CHA-HANA,1729801541,"11/25/2025, 3:29:37.831 AM",SYNC,4.0.260223.125026,0,TRUE,vchadcha01l00c,0,SITEA,xsengine,ERROR,Log shipping timeout occurred,0,0,52538,49321445,215195648,1733154112,"11/28/2025, 12:11:54.676 AM",SITEB,CHA,ERROR,1,12177592,2646256,11433648128,1350593147,"4/17/2026, 11:52:04.558 PM","4/17/2026, 11:52:04.551 PM","4/17/2026, 11:52:04.551 PM",CHA,SapHana_SystemReplication_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:52:05.139 PM",,,"4/17/2026, 11:52:04.551 PM","4/17/2026, 11:52:04.551 PM",YES,465489.03,CHA,DISABLED,vchadcha01l10c,2.35737E+11,"4/17/2026, 11:52:04.402 PM",logreplay,CHA-HANA,2.27955E+11,"11/25/2025, 3:29:53.587 AM",SYNC,4.0.260223.125026,0,TRUE,vchadcha01l00c,1,SITEA,indexserver,ERROR,Log shipping timeout occurred,0,0,1771935,1203537545,9972457472,2.28111E+11,"11/28/2025, 1:12:05.376 AM",SITEB,CHA,ERROR,1,12173999,88537093,5.74427E+11,28018475995,"4/17/2026, 11:52:04.558 PM","4/17/2026, 11:52:04.551 PM","4/17/2026, 11:52:04.551 PM",CHA,SapHana_SystemReplication_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:52:05.139 PM",,,"4/17/2026, 11:52:04.551 PM","4/17/2026, 11:52:04.551 PM",YES,10078.87,CHA,DISABLED,vchadcha01l10c,1819723904,"4/17/2026, 11:51:47.356 PM",logreplay,CHA-HANA,1651231877,"11/25/2025, 3:29:37.831 AM",SYNC,4.0.260223.125026,0,TRUE,vchadcha01l00c,0,SITEA,dpserver,ERROR,Log shipping timeout occurred,0,0,52649,49593104,215650304,1654591552,"11/28/2025, 12:20:54.290 AM",SITEB,CHA,ERROR,1,12177053,2646234,11433439232,1372104879,"4/17/2026, 11:52:04.558 PM","4/17/2026, 11:52:04.551 PM","4/17/2026, 11:52:04.551 PM",CHA,SapHana_SystemReplication_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:52:05.139 PM",,,"4/17/2026, 11:52:04.551 PM","4/17/2026, 11:52:04.551 PM",YES,10076.68,CHA,DISABLED,vchadcha01l10c,1989675008,"4/17/2026, 11:51:47.356 PM",logreplay,CHA-HANA,1821220165,"11/25/2025, 3:29:37.831 AM",SYNC,4.0.260223.125026,0,TRUE,vchadcha01l00c,0,SITEA,docstore,ERROR,Log shipping timeout occurred,0,0,52628,48577175,215564288,1824578560,"11/28/2025, 12:19:19.837 AM",SITEB,CHA,ERROR,1,12177147,2645589,84940419072,1608109905,"4/17/2026, 11:52:04.558 PM","4/17/2026, 11:52:04.551 PM","4/17/2026, 11:52:04.551 PM",CHA,SapHana_SystemReplication_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:53:04.095 PM",,,"4/17/2026, 11:53:03.611 PM","4/17/2026, 11:53:03.611 PM",YES,0,SYSTEMDB,DISABLED,vchadcha01l10c,2228769728,"4/17/2026, 11:53:03.614 PM",logreplay,CHA-HANA,2228769664,"4/17/2026, 11:53:03.606 PM",SYNC,4.0.260223.125026,0,TRUE,vchadcha01l00c,0,SITEA,nameserver,ACTIVE,,0,0,21688466,20602336075,90669748224,2228769728,"4/17/2026, 11:53:03.614 PM",SITEB,CHA,ACTIVE,1,0,21695979,90794872832,10786933642,"4/17/2026, 11:53:03.617 PM","4/17/2026, 11:53:03.611 PM","4/17/2026, 11:53:03.611 PM",CHA,SapHana_SystemReplication_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:53:04.095 PM",,,"4/17/2026, 11:53:03.611 PM","4/17/2026, 11:53:03.611 PM",YES,10079.56,CHA,DISABLED,vchadcha01l10c,1898297728,"4/17/2026, 11:52:47.414 PM",logreplay,CHA-HANA,1729801541,"11/25/2025, 3:29:37.831 AM",SYNC,4.0.260223.125026,0,TRUE,vchadcha01l00c,0,SITEA,xsengine,ERROR,Log shipping timeout occurred,0,0,52538,49321445,215195648,1733154112,"11/28/2025, 12:11:54.676 AM",SITEB,CHA,ERROR,1,12177652,2646272,11433713664,1350610221,"4/17/2026, 11:53:03.618 PM","4/17/2026, 11:53:03.611 PM","4/17/2026, 11:53:03.611 PM",CHA,SapHana_SystemReplication_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:53:04.095 PM",,,"4/17/2026, 11:53:03.611 PM","4/17/2026, 11:53:03.611 PM",YES,465490.87,CHA,DISABLED,vchadcha01l10c,2.35737E+11,"4/17/2026, 11:53:00.833 PM",logreplay,CHA-HANA,2.27955E+11,"11/25/2025, 3:29:53.587 AM",SYNC,4.0.260223.125026,0,TRUE,vchadcha01l00c,1,SITEA,indexserver,ERROR,Log shipping timeout occurred,0,0,1771935,1203537545,9972457472,2.28111E+11,"11/28/2025, 1:12:05.376 AM",SITEB,CHA,ERROR,1,12174055,88537458,5.74429E+11,28018588638,"4/17/2026, 11:53:03.618 PM","4/17/2026, 11:53:03.611 PM","4/17/2026, 11:53:03.611 PM",CHA,SapHana_SystemReplication_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:53:04.095 PM",,,"4/17/2026, 11:53:03.611 PM","4/17/2026, 11:53:03.611 PM",YES,10078.94,CHA,DISABLED,vchadcha01l10c,1819724928,"4/17/2026, 11:52:47.414 PM",logreplay,CHA-HANA,1651231877,"11/25/2025, 3:29:37.831 AM",SYNC,4.0.260223.125026,0,TRUE,vchadcha01l00c,0,SITEA,dpserver,ERROR,Log shipping timeout occurred,0,0,52649,49593104,215650304,1654591552,"11/28/2025, 12:20:54.290 AM",SITEB,CHA,ERROR,1,12177113,2646250,11433504768,1372127365,"4/17/2026, 11:53:03.618 PM","4/17/2026, 11:53:03.611 PM","4/17/2026, 11:53:03.611 PM",CHA,SapHana_SystemReplication_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 11:53:04.095 PM",,,"4/17/2026, 11:53:03.611 PM","4/17/2026, 11:53:03.611 PM",YES,10076.75,CHA,DISABLED,vchadcha01l10c,1989676032,"4/17/2026, 11:52:47.414 PM",logreplay,CHA-HANA,1821220165,"11/25/2025, 3:29:37.831 AM",SYNC,4.0.260223.125026,0,TRUE,vchadcha01l00c,0,SITEA,docstore,ERROR,Log shipping timeout occurred,0,0,52628,48577175,215564288,1824578560,"11/28/2025, 12:19:19.837 AM",SITEB,CHA,ERROR,1,12177207,2645605,84940484608,1608132738,"4/17/2026, 11:53:03.618 PM","4/17/2026, 11:53:03.611 PM","4/17/2026, 11:53:03.611 PM",CHA,SapHana_SystemReplication_CL,
