TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [Pacific Time (US and Canada) Tijuana],Computer,RawData,SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],HOST_s,KEY_s,PROVIDER_INSTANCE_s,SAPMON_VERSION_s,Time_Generated_t [Pacific Time (US and Canada) Tijuana],VALUE_s,_SERVER_UTC_t [Pacific Time (US and Canada) Tijuana],sapsid_s,Type,_ResourceId
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,kernel.numa_balancing,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.794 PM",0,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,mem_swap,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.794 PM",2147479552,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,memory_map_area_limit,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.794 PM",2147483647,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,os_user,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.794 PM",chaadm (2200),"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,hw_model,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.794 PM",Virtual Machine,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,net_realhostname,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.794 PM",chadcha01l10c,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,sid,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.805 PM",CHA,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,os_ppms_name,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.805 PM",LINUX_X86_64,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,net_port_ephemeral_max_count,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.805 PM",40992,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,sapsystem,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.805 PM",00,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,topology_mem_info,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.805 PM",<ok>,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,build_gitmergetime,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.805 PM",19-04-2024 14:23,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
63c81adf-e45b-4623-80a1-b89026218a34,RestAPI,,,"4/17/2026, 5:07:04.722 PM",,,"4/17/2026, 5:07:03.751 PM",vchadcha01l10c,kernel.shmall,CHA-HANA,4.0.260223.125026,"4/17/2026, 5:07:03.805 PM",1152921504606846720,"4/17/2026, 5:07:03.751 PM",CHA,SapHana_HostInformation_CL,
